PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_SUBSTANCE_SYNONYM,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_SUBSTANCE_COMMENT
"CCSBASE_F5E4176632","N-Acetyl-L-tyrosine","CC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_8B2DD6B59F","Xanthurenic acid","C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_4F5246CA1E","Ribothymidine","CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_7FB1752500","Suberic acid","C(CCCC(=O)O)CCC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_8909B5050B","Taurodeoxycholic acid","C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_2AA8619C14","5alpha-Androstane-3,17-dione","C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_EFF5C7193C","Tridecanoic acid","CCCCCCCCCCCCC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_A52E7A0F7C","Traumatic Acid","C(CCCCC(=O)O)CCC/C=C/C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_49BC4A3637","Uridine 5'-diphosphoglucuronic acid","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_BEC0ECBB66","Uroporphyrin I","C1=C2C(=C(C(=CC3=NC(=CC4=NC(=CC5=C(C(=C1N5)CCC(=O)O)CC(=O)O)C(=C4CC(=O)O)CCC(=O)O)C(=C3CC(=O)O)CCC(=O)O)N2)CCC(=O)O)CC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_0697AEB48D","L-Threonate","C([C@@H]([C@H](C(=O)O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_43243D60D2","Behenic acid","CCCCCCCCCCCCCCCCCCCCCC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_C90983D568","Undecanoic Acid","CCCCCCCCCCC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_63D115128C","Taurochenodeoxycholate","C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_C2915C47C8","Suberylglycine","C(CCCC(=O)O)CCC(=O)NCC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_CBCAEC57F8","Tartaric acid","C(C(C(=O)O)O)(C(=O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_F27D921D9E","2'-Deoxyguanosine 5'-diphosphate","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_C5CB1B9BAE","Farnesyl pyrophosphate","CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_0156BA30F0","5-Methylcytidine","CC1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_F9B7F27848","DL-2-Aminooctanoic acid","CCCCCCC(C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_4D3A005AD3","Deoxycytidine 5'-triphosphate","C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_39FD429140","Adenosine 5'-phosphosulfate","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OS(=O)(=O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_687729E371","Biliverdin","CC\1=C(/C(=C/C2=C(C(=C(N2)/C=C\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/N/C1=C\C4=NC(=O)C(=C4C)C=C)CCC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_A611905381","N-Formylmethionine","CSCC[C@@H](C(=O)O)NC=O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_625491EE3B","2-Deoxyribose 5-phosphate","C1[C@@H]([C@H](O[C@H]1O)COP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_38770E800A","Arachidonic Acid","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_6510CBB853","2'-Deoxyguanosine 5'-monophosphate","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_F1CF6A1470","7,8-Dihydrofolate","C1C(=NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_FD56A20FF9","N-Acetyl-D-Glucosamine 6-Phosphate","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)COP(=O)(O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_2A0936008C","S-Lactoylglutathione","CC(C(=O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_D31B4573AF","N-Acetylaspartylglutamate","CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_A43CF4D209","Octanoyl-CoA","CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_F7BF3010F0","Fructose-1-phosphate","C([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_C2F18F99E3","D-Mannose-6-phosphate","C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)OP(=O)(O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_158543FCF1","Butyryl-coenzyme A","CCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_D286807BD1","GDP-L-Fucose","C[C@H]1[C@H]([C@H]([C@@H](C(O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_41C134E91D","3-Methylbutanoyl-CoA","CC(C)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_1AF6E8A3BC","Stearoyl-CoA","CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_FFC7B99F3D","Dimethylallyl pyrophosphate","CC(=CCOP(=O)(O)OP(=O)(O)O)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_DEADCB9BAF","Anthranilic acid","C1=CC=C(C(=C1)C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_82641D7ECF","3'-Phosphoadenosine 5'-phosphosulfate","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_3E5EF11C72","N-Acetyl-L-glutamate","CC(=O)N[C@@H](CCC(=O)O)C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_B692DB36AD","Guanosine diphosphate mannose","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)NC(=NC2=O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_F43E272EEB","Cytidine monophosphate N-acetylneuraminic acid","CC(=O)N[C@@H]1[C@H](C[C@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_09AFF77220","Nicotinic acid adenine dinucleotide","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_2B2853E510","P1,P4-Diadenosine 5'-tetraphosphate","","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_9BAA8F4209","1-Deoxy-D-xylulose 5-phosphate","CC(=O)[C@H]([C@@H](COP(=O)(O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_E2C8D4A6CD","Prostaglandin E2","CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_22F7CA9390","N-Acetylserotonin","CC(=O)NCCC1=CNC2=C1C=C(C=C2)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_5B46D5984D","Isobutyryl-CoA","CC(C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_6261A022FE","2'-Deoxycytidine diphosphate","C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_E785DE3CC6","N-Phenylacetamide","CC(=O)NC1=CC=CC=C1","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_C2197CF803","L-Fucose-1-phosphate","","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_9D02F1C573","Deoxythymidine 5'-diphosphate","CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_7305F1E824","Geranyl diphosphate","CC(=CCC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_8C843CBB26","Oleoyl-CoA","CCCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_2F8DF3C395","Prostaglandin I2","CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1C/C(=C/CCCC(=O)O)/O2)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_28CCAED12C","3,4-Dihydroxyphenylacetic acid","C1=CC(=C(C=C1CC(=O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_522CFC20AE","Palmitoyl CoA","CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_F9B78B561F","Glutaryl-CoA","CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_66E019F256","Isopentenyl pyrophosphate","CC(=C)CCOP(=O)(O)OP(=O)(O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_9E2D6027D9","N-Acetylglucosamine 1-phosphate","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1OP(=O)(O)O)CO)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_1713081C11","Diaminoheptanedioate","C(CC(C(=O)[O-])N)CC(C(=O)[O-])N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_59128B4E42","Diaminopimelic acid","C(CC(C(=O)O)N)CC(C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_01C104BD43","Dephosphocoenzyme A","CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O)[C@H](C(=O)NCCC(=O)NCCS)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_9FA02250C1","HMG-CoA","C[C@](CC(=O)O)(CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_FD0D5C8A92","alpha-Linolenic acid","CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_2AE09F935D","Melatonin","CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_4635875F06","5-Methyltetrahydrofolate","CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)N[C@H](CCC(=O)O)C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_4CDDA89D2C","Prostaglandin D2","CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_3D95309C33","Deoxyuridine monophosphate","C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_A203CBA797","Cytidine 5'-diphosphocholine","C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_1DC0D2F490","Coenzyme A","CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_EA4EA9AD12","Estrone 3-sulfate","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_BD814EB0A9","Deoxyguanosine triphosphate","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_0A7E56BE60","Prostaglandin E1","CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_E672F30ABC","Acetoacetyl coenzyme A","CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_34DC614374","Pyridoxal 5'-phosphate","CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_D8E9DC502A","5'-Phosphoribosyl-5-amino-4-imidazolecarboxamide","C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N)C(=O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_E20C2FAC77","Flavin mononucleotide","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_EA0FB9FD88","Myristoyl-coenzyme A","CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_D261C02A89","2'-Deoxyadenosine 5'-triphosphate","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_7FEE32A438","5,10-methylene-THF","C1C2CN(CN2C3=C(N1)NC(=NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_1B32DCA269","Cytidine 5'-diphosphate","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_030BFCB782","Corticosterone","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_4A4C02AB6B","Palmitaldehyde","CCCCCCCCCCCCCCCC=O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_86024036BF","Xanthylic acid","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=O)NC2=O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_5CC2042A12","Folinic acid","C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_91149ECD30","trans-2-Octenoic acid","CCCCC/C=C/C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_7012DE547D","alpha-D-Glucose 1-phosphate","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_AABD30DFEF","L-Norleucine","CCCC[C@@H](C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_2A76E1662D","Progesterone","CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_3A26D7110D","Tetrahydrofolate","C1C(NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_2138FFDE6E","All-trans-retinoic acid","CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_153CAD21F8","5-Hydroxytryptophol","C1=CC2=C(C=C1O)C(=CN2)CCO","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
