g_id,name,adduct,mz,mass,z,ccs,ccs_type,ccs_method,smi,ref
"CCSBASE_7E9348F13F","Diuron","[M+H]+",233.0236,233.0236,1,153.32,"DT","stepped-field","CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_3522537EB0","Phosphocreatine","[M+H]+",212.0653,212.0653,1,153.77,"DT","stepped-field","CN(CC(=O)O)/C(=N/P(=O)(O)O)/N","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_1A75685386","D-Biotin","[M+H]+",245.0954,245.0954,1,154.16,"DT","stepped-field","C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_EE58FAAA85","L-Tryptophan","[M+H]+",205.0971,205.0971,1,154.22,"DT","stepped-field","C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_C75FF51ACC","Benzo(k)fluoranthene","[M+H]+",253.1017,253.1017,1,154.36,"DT","stepped-field","C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_46A1564FF5","Pyridoxal 5'-Phosphate","[M+H]+",248.0324,248.0324,1,154.76,"DT","stepped-field","CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_2CEC90B91E","Naproxen","[M+H]+",231.1023,231.1023,1,154.83,"DT","stepped-field","C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_45A8BBA7AA","Benz(j)aceanthrylene","[M+H]+",253.1017,253.1017,1,155.08,"DT","stepped-field","C1=CC=C2C(=C1)C=CC3=C2C=C4C=CC=C5C4=C3C=C5","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_0593E2FCA1","N-Acetyl-D-tryptophan","[M+H]+",247.1077,247.1077,1,155.67,"DT","stepped-field","CC(=O)N[C@H](CC1=CNC2=CC=CC=C21)C(=O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_8BBC227370","L-Anserine","[M+H]+",241.1292,241.1292,1,155.97,"DT","stepped-field","CN1C=NC=C1C[C@@H](C(=O)O)NC(=O)CCN","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_BCBD3625A3","Sulfanilamide","[M+H]+",174.0234,174.0234,1,156.07,"DT","stepped-field","C1=CC(=CC=C1N)S(=O)(=O)N","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_2D9ECB7365","Adenosine","[M+H]+",268.1040,268.1040,1,156.97,"DT","stepped-field","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_8980BEB255","sn-Glycero-3-phosphocholine","[M+H]+",258.1089,258.1089,1,157.17,"DT","stepped-field","C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](CO)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_233A3DD6B2","Daidzein","[M+H]+",255.0652,255.0652,1,157.23,"DT","stepped-field","C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_215CADD62C","5-Methylcytidine","[M+H]+",258.1084,258.1084,1,157.51,"DT","stepped-field","CC1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_E98DE510C4","3-Hydroxy-DL-kynurenine","[M+H]+",225.0845,225.0845,1,157.67,"DT","stepped-field","C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_6C0A313C9A","Imazapyr","[M+H]+",262.1186,262.1186,1,157.81,"DT","stepped-field","CC(C)C1(C(=O)NC(=N1)C2=C(C=CC=N2)C(=O)O)C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_A839E0CFBF","5-Hydroxy-L-Tryptophan","[M+H]+",221.0921,221.0921,1,157.88,"DT","stepped-field","C1=CC2=C(C=C1O)C(=CN2)C[C@@H](C(=O)O)N","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_2B44E84B2F","3-Methoxy-L-Tyrosine","[M+H]+",212.0913,212.0913,1,158.73,"DT","stepped-field","COC1=C(C=CC(=C1)C[C@@H](C(=O)O)N)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_8EAB568DF2","Inosine","[M+H]+",269.0880,269.0880,1,159.25,"DT","stepped-field","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_CCEF52479F","Acetochlor","[M+H]+",270.1255,270.1255,1,160.09,"DT","stepped-field","CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_684EE46A37","Abscisic Acid","[M+H]+",265.1434,265.1434,1,160.56,"DT","stepped-field","CC1=CC(=O)CC(C1(/C=C/C(=C\C(=O)O)/C)O)(C)C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_E35B6CC185","Phenylacetyl L-Glutamine","[M+H]+",265.1183,265.1183,1,160.93,"DT","stepped-field","C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_A0E0905A17","Terbutryn","[M+H]+",242.1434,242.1434,1,161.23,"DT","stepped-field","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_F067153AD6","Emodin","[M+H]+",271.0601,271.0601,1,161.30,"DT","stepped-field","CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_65919E94B0","Metolachlor","[M+H]+",284.1412,284.1412,1,161.46,"DT","stepped-field","CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_5769A23EE6","5'-Deoxyadenosine","[M+H]+",252.1091,252.1091,1,162.10,"DT","stepped-field","C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_200F3DF8E2","Pendimethalin","[M+H]+",282.1448,282.1448,1,162.60,"DT","stepped-field","CCC(CC)NC1=C(C=C(C(=C1[N+](=O)[O-])C)C)[N+](=O)[O-]","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_0CA1A3F843","2'-Deoxyadenosine","[M+H]+",252.1095,252.1095,1,162.73,"DT","stepped-field","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_8634448048","12-Hydroxybenzo(a)pyrene","[M+H]+",267.0810,267.0810,1,163.10,"DT","stepped-field","C1=CC=C2C(=C1)C=C3C=CC4=C5C3=C2C=C(C5=CC=C4)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_EFD8D240E2","Hexazinone","[M+H]+",253.1659,253.1659,1,163.17,"DT","stepped-field","CN1C(=NC(=O)N(C1=O)C2CCCCC2)N(C)C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_45B529D545","7-hydroxybenzo(a)pyrene","[M+H]+",267.0810,267.0810,1,163.20,"DT","stepped-field","C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C=CC=C5O)C=C2","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_C1170D0638","Genistein","[M+H]+",271.0601,271.0601,1,163.30,"DT","stepped-field","C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_3DF8BF6D35","Thymidine 5'-Monophosphate","[M+H]+",323.0639,323.0639,1,163.84,"DT","stepped-field","CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_16B0071131","Pinostrobin","[M+H]+",271.0965,271.0965,1,164.24,"DT","stepped-field","COC1=CC(=C2C(=O)C[C@H](OC2=C1)C3=CC=CC=C3)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_C75352CA8F","Guanosine","[M+H]+",284.0989,284.0989,1,165.02,"DT","stepped-field","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_DCCE3E16A8","Isoliquiritigenin","[M+H]+",257.0808,257.0808,1,165.05,"DT","stepped-field","C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_8842D8F678","Catechin","[M+H]+",291.0863,291.0863,1,165.18,"DT","stepped-field","C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_0E1D7C4842","2_-Deoxycytidine 5_-Monophosphate","[M+H]+",308.0642,308.0642,1,165.59,"DT","stepped-field","C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_AE489CD070","Kaempferol","[M+H]+",287.0550,287.0550,1,165.99,"DT","stepped-field","C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_20EC6A9B55","Prunetin","[M+H]+",285.0757,285.0757,1,166.26,"DT","stepped-field","COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC=C(C=C3)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_DBB917EB0A","Xanthosine","[M+H]+",285.0830,285.0830,1,166.49,"DT","stepped-field","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_0BD7270D18","Dibenzo(AH)Pyrene","[M+H]+",303.1174,303.1174,1,166.69,"DT","stepped-field","","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_7EDB214069","Acacetin","[M+H]+",285.0757,285.0757,1,167.06,"DT","stepped-field","COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_35C1D20322","Nicotinamide Mononucleotide","[M+H]+",335.0639,335.0639,1,167.13,"DT","stepped-field","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)[O-])O)O)C(=O)N","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_863EE7898B","Ophthalmic Acid","[M+H]+",290.1329,290.1329,1,167.23,"DT","stepped-field","CC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_8013AD5E4A","Argininosuccinic Acid","[M+H]+",291.1299,291.1299,1,167.39,"DT","stepped-field","C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_63F5CC283B","Naringenin","[M+H]+",273.0757,273.0757,1,167.96,"DT","stepped-field","C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_94DFBC9FA4","Cytidine-5' Monophosphate","[M+H]+",324.0591,324.0591,1,168.77,"DT","stepped-field","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_CD625F1445","1-Methylguanosine","[M+H]+",298.1146,298.1146,1,168.80,"DT","stepped-field","CN1C(=O)C2=C(N=C1N)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_698F774E17","Indaziflam","[M+H]+",302.1775,302.1775,1,169.27,"DT","stepped-field","C[C@H]1CC2=C([C@@H]1NC3=NC(=NC(=N3)N)C(C)F)C=C(C=C2)C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_7D9EF8AD02","Uridine 5'-Monophosphate","[M+H]+",325.0431,325.0431,1,169.81,"DT","stepped-field","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_7854C9260B","2_-Deoxyadenosine 5_-Monophosphate","[M+H]+",332.0754,332.0754,1,170.01,"DT","stepped-field","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_EB8D5F173F","Eriodictyol","[M+H]+",289.0707,289.0707,1,170.48,"DT","stepped-field","C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_1462E4E0F7","Cytidine 3'-monophosphate","[M+H]+",324.0591,324.0591,1,170.98,"DT","stepped-field","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)OP(=O)(O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_369F80A031","N-Acetyl Sulfamethoxazole","[M+H]+",296.0699,296.0699,1,171.45,"DT","stepped-field","CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_EE5B062113","Thiamine Monophosphate","[M+H]+",345.0815,345.0815,1,172.53,"DT","stepped-field","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_FCA12DA2A4","Isorhamnetin","[M+H]+",317.0656,317.0656,1,172.96,"DT","stepped-field","COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_1AC863B081","5'-Methylthioadenosine","[M+H]+",298.0968,298.0968,1,173.03,"DT","stepped-field","CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_5F3D565D90","Adenosine 5' Monophosphate","[M+H]+",348.0704,348.0704,1,173.33,"DT","stepped-field","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_8C2F40212F","Myricetin","[M+H]+",319.0448,319.0448,1,174.40,"DT","stepped-field","C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_7A235282F3","2-Methoxyestrone","[M+H]+",301.1798,301.1798,1,174.47,"DT","stepped-field","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=C(C=C34)OC)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_3D2D437EE3","Hesperetin","[M+H]+",303.0863,303.0863,1,176.54,"DT","stepped-field","COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_DBD6C924CA","Pregnenolone","[M+H]+",317.2475,317.2475,1,177.25,"DT","stepped-field","CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_74CC1BCAD2","Inosine 5_-Monophosphate","[M+H]+",349.0544,349.0544,1,177.58,"DT","stepped-field","C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_653FCF6ED2","_-3 Arachidonic Acid","[M+H]+",305.2480,305.2480,1,178.60,"DT","stepped-field","","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_4AB0CD6B71","2'-Deoxyguanosine 5'-Monophosphate","[M+H]+",348.0704,348.0704,1,178.96,"DT","stepped-field","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_7C0DCD4A77","6-keto Prostaglandin F1_","[M+H]+",371.2434,371.2434,1,179.10,"DT","stepped-field","","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_3CF16C1E05","13-OxoODE","[M+H]+",295.2273,295.2273,1,179.40,"DT","stepped-field","CCCCCC(=O)/C=C/C=C/CCCCCCCC(=O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_BBB9699549","sn-Glycerol 3-phosphate","[M+H]+",173.0210,173.0210,1,179.49,"DT","stepped-field","C([C@H](COP(=O)(O)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_615DFB281B","3-Methylcrotonyl-CoA","[M+H]+",850.1649,850.1649,1,180.03,"DT","stepped-field","CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_B92F7320C0","Thyrotropin-releasing hormone","[M+H]+",363.1775,363.1775,1,181.00,"DT","stepped-field","C1C[C@H](N(C1)C(=O)[C@H](CC2=CN=CN2)NC(=O)[C@@H]3CCC(=O)N3)C(=O)N","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_36FE1D1D21","Guanosine 5' Monophosphate","[M+H]+",364.0653,364.0653,1,182.21,"DT","stepped-field","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N=C(NC2=O)N","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_902EC57050","14(15)-EET","[M+H]+",321.2435,321.2435,1,182.43,"DT","stepped-field","CCCCCC1C(O1)C/C=C\C/C=C\C/C=C\CCCC(=O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_CB1B62D2D9","Indomethacin","[M+H]+",358.0841,358.0841,1,183.55,"DT","stepped-field","CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_B112C86FED","Testosterone","[M+H]+",289.2162,289.2162,1,183.82,"DT","stepped-field","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_8462DD4B86","Androstenedione","[M+H]+",287.2005,287.2005,1,183.95,"DT","stepped-field","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_813DA9122A","9-OxoODE","[M+H]+",295.2273,295.2273,1,184.20,"DT","stepped-field","CCCCC/C=C\C=C\C(=O)CCCCCCCC(=O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_C63D57C458","Docosahexaenoic Acid","[M+H]+",329.2448,329.2448,1,184.62,"DT","stepped-field","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_361DB333A6","5-7-Dihydroxy-3-4-5-Trimethoxyflavone","[M+H]+",345.0969,345.0969,1,185.59,"DT","stepped-field","COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_3730522D5E","S-Adenosyl-L-methionine","[M+H]+",399.1451,399.1451,1,186.46,"DT","stepped-field","C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_C06A9B416C","Progesterone","[M+H]+",315.2312,315.2312,1,186.73,"DT","stepped-field","CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_2FF404B746","Methyl Linoleate","[M+H]+",295.2631,295.2631,1,187.20,"DT","stepped-field","CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_2A823FE843","Methyl Tetracosanoate","[M+H]+",383.3883,383.3883,1,187.54,"DT","stepped-field","CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_3F6E97D061","17_-Hydroxyprogesterone","[M+H]+",331.2266,331.2266,1,187.57,"DT","stepped-field","","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_F092959BEC","Tangeritin","[M+H]+",373.1282,373.1282,1,187.90,"DT","stepped-field","COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_56B97930BB","Adenosine 5' Diphosphate","[M+H]+",428.0367,428.0367,1,188.61,"DT","stepped-field","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_0585A66208","Cortisol","[M+H]+",363.2171,363.2171,1,188.88,"DT","stepped-field","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_75A5951F50","Adrenic Acid","[M+H]+",334.2696,334.2696,1,189.41,"DT","stepped-field","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_2F5022A421","17_-Hydroxypregnenolone","[M+H]+",333.2430,333.2430,1,190.45,"DT","stepped-field","","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_B8582C528E","Riboflavin","[M+H]+",377.1456,377.1456,1,192.43,"DT","stepped-field","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_9DD286665A","Ampicillin","[M+H]+",350.1250,350.1250,1,193.17,"DT","stepped-field","CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_22FF26411E","Dihydrofolate","[M+H]+",445.1196,445.1196,1,193.63,"DT","stepped-field","C1C(=NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_D135AF6538","Aldosterone","[M+H]+",361.2009,361.2009,1,196.05,"DT","stepped-field","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_1FB9C42427","Halosulfuron-methyl","[M+H]+",435.0484,435.0484,1,196.48,"DT","stepped-field","CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
"CCSBASE_CDC1261C02","Mangiferin","[M+H]+",423.0922,423.0922,1,196.62,"DT","stepped-field","C1=C2C(=CC(=C1O)O)OC3=CC(=C(C(=C3C2=O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O","https://pubs.rsc.org/en/content/articlelanding/2017/sc/c7sc03464d"
